id;node_sn;timestamp;GPS_lat;GPS_lon;GPS_alt;GPS_speed;GPS_num_sats;ACC_x_RMS;ACC_y_RMS;ACC_z_RMS;ACC_x_MEAN;ACC_y_MEAN;ACC_z_MEAN;ACC_samples;MAG_x_RMS;MAG_y_RMS;MAG_z_RMS;MAG_x_MEAN;MAG_y_MEAN;MAG_z_MEAN;MAG_samples;temperature;is_anomaly;raw_MSE;score
51;22;05/03/2022 11:10;452.451.286.315.918;19.842.859.268.188.400;17;0;3;0;0;0;0.306563;-0.153281;-101.166;1;0;0;0;37;18;1;1;914.359;NULL;NULL;NULL
52;22;05/03/2022 12:10;4.524.488.067.626.950;19.847.389.221.191.400;75;0;3;0;0;0;0.306563;-0.306563;-102.698;1;0;0;0;37;18;1;1;119.554;NULL;NULL;NULL
53;22;05/03/2022 13:11;4.524.518.966.674.800;198.482.608.795.166;126;0;2;0;0;0;0.459844;0;-105.764;1;0;0;0;37;18;1;1;13.117;NULL;NULL;NULL
54;22;05/03/2022 14:12;4.524.480.056.762.690;1.984.701.919.555.660;52;0;3;0;0;0;0.459844;0.153281;-104.231;1;0;0;0;37;18;1;1;110.769;NULL;NULL;NULL
55;22;05/03/2022 15:12;45.244.991.302.490.200;19.847.749.710.083.000;61;0;5;0;0;0;0.306563;0;-104.231;1;0;0;0;37;18;1;1;949.874;NULL;NULL;NULL
56;22;05/03/2022 16:13;4.524.504.089.355.460;1.984.804.916.381.830;97;0;5;0;0;0;0.766406;0;-101.166;1;0;0;0;37;18;1;1;839.055;NULL;NULL;NULL
57;22;05/03/2022 17:14;45.245.208.740.234.300;19.845.439.910.888.600;94;0;3;0;0;0;0.613125;0;-102.698;1;0;0;0;37;18;1;1;515.679;NULL;NULL;NULL
58;22;05/03/2022 18:15;45.244.991.302.490.200;1.984.748.077.392.570;44;0;3;0;0;0;0.459844;-0.153281;-105.764;1;0;0;0;37;18;1;1;345.579;NULL;NULL;NULL
59;22;05/03/2022 19:16;4.524.502.182.006.830;1.984.819.984.436.030;101;0;3;0;0;0;0.613125;-0.153281;-9.81;1;0;0;0;37;18;1;1;249.447;NULL;NULL;NULL
60;22;05/03/2022 20:17;45.245.140.075.683.500;1.984.773.063.659.660;73;0;3;0;0;0;0.459844;0;-105.764;1;0;0;0;37;18;1;1;177.615;NULL;NULL;NULL
61;22;05/03/2022 21:18;4.524.502.944.946.280;1.984.796.905.517.570;78;0;3;0;0;0;0.613125;-0.153281;-9.81;1;0;0;0;37;18;1;1;0.603874;NULL;NULL;NULL
62;22;05/03/2022 22:19;45.244.781.494.140.600;1.984.609.031.677.240;-1;0;2;0;0;0;0.459844;0;-102.698;1;0;0;0;37;18;1;1;-0.381474;NULL;NULL;NULL
63;22;05/03/2022 23:21;4.524.501.037.597.650;1.984.769.058.227.530;40;0;4;0;0;0;0.459844;0;-102.698;1;0;0;0;37;18;1;1;-0.643166;NULL;NULL;NULL
64;22;06/03/2022 00:22;4.524.504.089.355.460;19.847.700.119.018.500;62;0;4;0;0;0;0.459844;0;-102.698;1;0;0;0;37;18;1;1;-0.68322;NULL;NULL;NULL
65;22;06/03/2022 01:23;45.245.059.967.041.000;19.847.919.464.111.300;85;0;4;0;0;0;0.613125;0;-102.698;1;0;0;0;37;18;1;1;104.181;NULL;NULL;NULL
66;22;06/03/2022 02:24;4.524.502.182.006.830;19.847.370.147.705.000;67;0;2;0;0;0;0.459844;-0.153281;-102.698;1;0;0;0;37;18;1;1;0.90295;NULL;NULL;NULL
67;22;06/03/2022 03:25;4.524.504.852.294.920;19.847.999.572.753.900;91;0;4;0;0;0;0.459844;-0.153281;-104.231;1;0;0;0;37;18;1;1;114.862;NULL;NULL;NULL
68;22;06/03/2022 04:26;45.245.121.002.197.200;1.984.794.044.494.620;86;0;4;0;0;0;0.459844;0;-102.698;1;0;0;0;37;18;1;1;0.788128;NULL;NULL;NULL
69;22;06/03/2022 05:27;45.245.121.002.197.200;19.848.140.716.552.700;96;0;3;0;0;0;0.459844;0;-105.764;1;0;0;0;37;18;1;1;0.315483;NULL;NULL;NULL
70;22;06/03/2022 06:29;4.524.502.182.006.830;1.984.808.921.813.960;103;0;3;0;0;0;0.153281;-0.306563;-996.328;1;0;0;0;37;18;1;1;0.801479;NULL;NULL;NULL
71;22;06/03/2022 07:30;4.524.496.078.491.210;1.984.808.921.813.960;84;0;3;0;0;0;0.459844;-0.153281;-101.166;1;0;0;0;37;18;1;1;129.816;NULL;NULL;NULL
72;22;06/03/2022 08:31;4.524.497.985.839.840;19.847.820.281.982.400;89;0;4;0;0;0;0.153281;0;-104.231;1;0;0;0;37;18;1;1;307.126;NULL;NULL;NULL
73;22;06/03/2022 09:32;4.524.502.944.946.280;19.848.020.553.588.800;98;0;4;0;0;0;0.613125;0;-102.698;1;0;0;0;37;18;1;1;454.528;NULL;NULL;NULL
74;22;06/03/2022 10:33;452.451.286.315.918;1.984.847.068.786.620;105;0;2;0;0;0;0.459844;0;-101.166;1;0;0;0;37;18;1;1;757.611;NULL;NULL;NULL
75;22;06/03/2022 11:33;4.524.496.841.430.660;19.847.829.818.725.500;84;0;2;0;0;0;0.459844;0.153281;-102.698;1;0;0;0;37;18;1;1;558.938;NULL;NULL;NULL
76;22;06/03/2022 12:35;4.524.510.955.810.540;19.847.980.499.267.500;92;0;3;0;0;0;0.306563;0;-101.166;1;0;0;0;37;18;1;1;549.058;NULL;NULL;NULL
77;22;06/03/2022 13:36;45.245.059.967.041.000;1.984.786.033.630.370;79;0;3;0;0;0;0.459844;0;-101.166;1;0;0;0;37;18;1;1;623.293;NULL;NULL;NULL
78;22;06/03/2022 14:36;45.245.079.040.527.300;19.848.060.607.910.100;101;0;4;0;0;0;0.459844;0;-101.166;1;0;0;0;37;18;1;1;453.994;NULL;NULL;NULL
79;22;06/03/2022 15:37;45.244.991.302.490.200;19.848.220.825.195.300;98;0;4;0;0;0;0.306563;-0.153281;-101.166;1;0;0;0;37;18;1;1;379.225;NULL;NULL;NULL
80;22;06/03/2022 16:38;4.524.501.037.597.650;19.848.140.716.552.700;96;0;4;0;0;0;0.459844;0;-965.672;1;0;0;0;37;18;1;1;306.325;NULL;NULL;NULL
81;22;06/03/2022 17:39;4.524.509.811.401.360;1.984.794.044.494.620;92;0;3;0;0;0;0.459844;0;-101.166;1;0;0;0;37;18;1;1;265.469;NULL;NULL;NULL
82;22;06/03/2022 18:40;4.524.501.037.597.650;19.847.509.384.155.200;54;0;3;0;0;0;0.613125;0;-102.698;1;0;0;0;37;18;1;1;233.692;NULL;NULL;NULL
83;22;06/03/2022 19:41;452.448.616.027.832;19.847.389.221.191.400;29;0;2;0;0;0;0.306563;0.153281;-102.698;1;0;0;0;37;18;1;1;214.199;NULL;NULL;NULL
84;22;06/03/2022 20:43;4.524.510.955.810.540;19.847.410.202.026.300;46;0;3;0;0;0;0.459844;0;-105.764;1;0;0;0;37;18;1;1;219.005;NULL;NULL;NULL
85;22;06/03/2022 21:43;4.524.489.974.975.580;1.984.748.077.392.570;62;0;3;0;0;0;0.153281;0;-105.764;1;0;0;0;37;18;1;1;223.545;NULL;NULL;NULL
